,Reason,External Doc No.,Posting Date,Doc Type,Customer No.,Amount,UserID,Open,Ali_Amount,Ali_Type
0,Empty,1103242052787284798	,2020-08-14,Invoice,SUD0128,565.0,,False,,
1,Empty,1103256932482064390	,2020-08-14,Invoice,SUD0128,329.0,,False,,
2,Empty,1103385956994482997	,2020-08-15,Invoice,SUD0128,160.8,,False,,
3,Empty,1103643268955946594	,2020-08-16,Invoice,SUD0128,655.0,,False,,
4,Empty,1104120004822251889	,2020-08-19,Invoice,SUD0128,234.5,,False,,
5,Empty,1104136452382580789	,2020-08-19,Invoice,SUD0128,799.0,,False,,
6,Empty,1104159300275390189	,2020-08-19,Invoice,SUD0128,0.0,,False,,
7,Empty,1104548484321191694	,2020-08-21,Invoice,SUD0128,320.1,,False,,
8,Empty,1104549988980177399	,2020-08-21,Invoice,SUD0128,0.0,,False,,
9,Empty,1104574660341078692	,2020-08-21,Invoice,SUD0128,179.0,,False,,
10,Empty,1104596132432639292	,2020-08-21,Invoice,SUD0128,789.5,,False,,
11,Empty,1104637828412199896	,2020-08-22,Invoice,SUD0128,890.0,,False,,
12,Empty,1104714628412700488	,2020-08-22,Invoice,SUD0128,504.5,,False,,
13,Empty,1104728452986400797	,2020-08-22,Invoice,SUD0128,565.0,,False,,
14,PriceError,1104987396592604693	,2020-08-26,Invoice,SUD0127,0.0,,False,0.93,Counted Price
15,Empty,1105132900769575799	,2020-08-24,Invoice,SUD0128,789.5,,False,,
16,Empty,1105188004250495890	,2020-08-24,Invoice,SUD0128,0.0,,False,,
17,Empty,1105214020695867698	,2020-08-24,Invoice,SUD0128,789.5,,False,,
18,Empty,1105820710519292996	,2020-08-14,Invoice,SUD0128,565.0,,False,,
19,Empty,1105879111484586190	,2020-08-15,Invoice,SUD0128,1049.0,,False,,
20,Empty,1105968551387395694	,2020-08-16,Invoice,SUD0128,959.0,,False,,
21,Empty,1105981286366946095	,2020-08-15,Invoice,SUD0128,0.0,,False,,
22,Empty,1105982502197578494	,2020-08-15,Invoice,SUD0128,0.0,,False,,
23,Empty,1106001702616323495	,2020-08-15,Invoice,SUD0128,632.91,,False,,
24,Empty,1106163079482573495	,2020-08-17,Invoice,SUD0128,0.0,,False,,
25,Empty,1106273991416459089	,2020-08-18,Invoice,SUD0128,949.0,,False,,
26,Empty,1106302662384963989	,2020-08-16,Invoice,SUD0128,359.0,,False,,
27,Empty,1106393734293295088	,2020-08-17,Invoice,SUD0128,309.0,,False,,
28,Empty,1106451782093384598	,2020-08-17,Invoice,SUD0128,574.5,,False,,
29,Empty,1106468519970573495	,2020-08-18,Invoice,SUD0128,799.0,,False,,
30,Empty,1106511463598711993	,2020-08-18,Invoice,SUD0128,199.0,,False,,
31,Empty,1106595686241327298	,2020-08-18,Invoice,SUD0128,359.0,,False,,
32,Empty,1106636871890385098	,2020-08-19,Invoice,SUD0128,859.5,,False,,
33,Empty,1106983975597199896	,2020-08-21,Invoice,SUD0128,1610.0,,False,,
34,Empty,1106986407547745996	,2020-08-21,Invoice,SUD0128,803.0,,False,,
35,Empty,1107000423962963391	,2020-08-21,Invoice,SUD0128,585.0,,False,,
36,Empty,1107001223159478499	,2020-08-21,Invoice,SUD0128,1162.1,,False,,
37,Empty,1107024551041932399	,2020-08-21,Invoice,SUD0128,789.5,,False,,
38,Empty,1107159943797042192	,2020-08-22,Invoice,SUD0128,585.0,,False,,
39,Empty,1107207494666827192	,2020-08-22,Invoice,SUD0128,329.0,,False,,
40,Empty,1107241191807551997	,2020-08-22,Invoice,SUD0128,779.0,,False,,
41,Empty,1107243527936270696	,2020-08-22,Invoice,SUD0128,779.0,,False,,
42,Empty,1107303815388283393	,2020-08-22,Invoice,SUD0128,229.0,,False,,
43,Empty,1107393063857660992	,2020-08-23,Invoice,SUD0128,0.0,,False,,
44,PriceError,1107409127740604693	,2020-08-26,Invoice,SUD0127,590.0,,False,591.0,Counted Price
45,Empty,1107495015696463796	,2020-08-23,Invoice,SUD0128,865.1,,False,,
46,Empty,1107516806905456788	,2020-08-22,Invoice,SUD0128,135.0,,False,,
47,Empty,1107539175034392796	,2020-08-24,Invoice,SUD0128,0.0,,False,,
48,Empty,1107603143435819387	,2020-08-24,Invoice,SUD0128,0.0,,False,,
49,Empty,1107699654759573697	,2020-08-23,Invoice,SUD0128,348.0,,False,,
50,Empty,1109272389025163898	,2020-08-12,Invoice,SUD0128,471.62,,False,,
51,Empty,1109371621725141997	,2020-08-14,Invoice,SUD0128,769.0,,False,,
52,Empty,1109445797394454997	,2020-08-14,Invoice,SUD0128,565.0,,False,,
53,Empty,1109457637588785587	,2020-08-14,Invoice,SUD0128,1184.1,,False,,
54,Empty,1109897669265967487	,2020-08-17,Invoice,SUD0128,1680.0,,False,,
55,Empty,1109944741264295088	,2020-08-17,Invoice,SUD0128,309.0,,False,,
56,Empty,1110117509596394394	,2020-08-18,Invoice,SUD0128,729.0,,False,,
57,Empty,1110126661009442893	,2020-08-18,Invoice,SUD0128,0.0,,False,,
58,Empty,1110197381462957989	,2020-08-18,Invoice,SUD0128,655.0,,False,,
59,Empty,1110781893827897391	,2020-08-21,Invoice,SUD0128,0.0,,False,,
60,Empty,1110785669924963391	,2020-08-22,Invoice,SUD0128,1319.0,,False,,
61,Empty,1110788581610579993	,2020-08-21,Invoice,SUD0128,0.0,,False,,
62,Empty,1111052453639685788	,2020-08-23,Invoice,SUD0128,635.0,,False,,
63,Empty,1111071877329227293	,2020-08-23,Invoice,SUD0128,341.1,,False,,
64,Empty,1111232901166832791	,2020-08-23,Invoice,SUD0128,1099.0,,False,,
65,Empty,1111337573336571392	,2020-08-24,Invoice,SUD0128,585.0,,False,,
66,PriceError,1160123617127096229	,2020-08-05,Invoice,SUD0127,-759.0,,False,0.0,Counted Price
